name,location,rank,description,tuition_and_fees,in_state,undergrad_enrollment
University of California--San Diego,"La Jolla, CA",44,"The University of California--San Diego lies alongside the Pacific Ocean in the La Jolla community of San Diego. The UCSD Tritons compete in more than 20 NCAA Division II sports, mainly in the California Collegiate Athletic Association. The school has hundreds of student organizations, and the university hosts a thriving Greek community. All freshmen are eligible for guaranteed on-campus housing for two years, but they are not required to live on campus. The campus has an aquarium and is home to the Large High Performance Outdoor Shake Table, which tests structures' ability to withstand simulated earthquakes. ",41.387,14.705,26590
University of Illinois--Urbana-Champaign,"Champaign, IL",44,"The University of Illinois is located in the twin cities of Urbana and Champaign in east-central Illinois, only a few hours from Chicago, Indianapolis and St. Louis. The school's Fighting Illini participate in more than 20 NCAA Division I varsity sports and are part of the Big Ten Conference. The university boasts the largest Greek system in the world, and almost a quarter of the student body is involved. It's not hard to find something to do on campus with more than 1,000 student organizations, including professional, political and philanthropic clubs. All freshmen are required to live on campus. ",31.32,15.698,33368
University of Wisconsin--Madison,"Madison, WI",44,"The University of Wisconsin--Madison lies along the southern shore of Lake Mendota in the city of Madison. The Wisconsin Badgers compete in more than 20 NCAA Division I sports and are part of the Big Ten Conference. Students can get involved in more than 800 organizations on campus. There is also an active Greek life and social scene on campus, evident in Wisconsin's reputation as one of the top party schools in the country. Freshmen are not required to live on campus, but many choose to do so. Students can opt to live in one of several residential communities where they learn and live with other students and faculty. ",32.738,10.488,31662
University of Florida,"Gainesville, FL",50,"The University of Florida is about two miles away from downtown Gainesville, a college town bolstered by the school's nearly 50,000 students. The Florida Gators sports teams compete in the NCAA Division I Southeastern Conference, and are supported by mascots Albert and Alberta the Alligators. The Gator football team, which competes in Ben Hill Griffin Stadium -- commonly called the ""The Swamp"" -- is particularly notorious. The team became the namesake of popular sports drink Gatorade in 1966, after freshmen Gators experimented with the novel beverage. The annual Gator Growl, held each Homecoming weekend, has been called the largest student-run pep rally in the world. About 15 percent of students are involved in the school's 60-plus fraternities and sororities. Freshmen do not have to live on campus, though about 80 percent opt to do so. All students can partake in Gator Nights, held every Friday, which offer free late-night entertainment and a free midnight breakfast.",28.666,6.389,35043
Pennsylvania State University--University Park,"University Park, PA",50,"There is rarely a dull moment on the Pennsylvania State University--University Park campus, also known as Happy Valley. With around 950 clubs and organizations, there are broad opportunities to get involved in campus life. The school mascot is the Nittany Lion, and teams compete in the Division I Big 10 Conference. The football team plays in Beaver Stadium, which is one of the largest arenas in North America with room for more than 107,000 fans. Penn State is home to a thriving Greek system with nearly 90 sororities and fraternities. About 15,000 students volunteer in THON, the largest student-run philanthropy in the world. Students raise money for pediatric cancer research and awareness throughout the year and participate in a 46-hour dance marathon - no sitting or sleeping allowed. Freshmen must live in one of five housing areas on campus. Across the street from campus is State College, a bustling small town with an array of coffee shops, restaurants, shops and bars populated mostly by students. Surrounded by mountains, the school is also close to skiing, snowboarding and hiking opportunities. ",32.382,17.9,40742
Ohio State University--Columbus,"Columbus, OH",54,"Located in the state capital of Columbus, The Ohio State University is a sprawling school with seemingly endless opportunities for students to get involved. There are more than 1,000 clubs and organizations on campus, including about 65 fraternities and sororities. Sports are another big part of campus life, with the Ohio State Buckeyes competing in the NCAA Division I Big Ten Conference. The athletic teams are named after the state tree and cheered on by mascot Brutus Buckeye. The football stadium, which was completed in 1922, is listed in the National Register of Historic Places. All Ohio State freshmen must live in one of the more than 35 residence halls across campus, unless a student is from Central Ohio and can commute from home. The Ohio State First Year Experience offers freshmen orientation, mentors and special programming to ease the transition into college. Freshmen can also go on the school's community service spring break, a trip to Chicago that is only open to first-year students. Local community service opportunities are easy to find through the school's Pay It Forward program, which includes an online listing of volunteer events. Students can also study abroad in more than 40 countries through Ohio State. ",29.229,10.037,45289
University of Washington,"Seattle, WA",54,"Located in the University District neighborhood (known as the U District) just north of downtown Seattle, the University of Washington is a cutting-edge research university with a long-standing history as one of the oldest public institutions on the West Coast. Students can join one of the school's 500-plus student organizations, including about 50 sororities and fraternities, or can start a brand new club with at least four other students. University of Washington is known as a commuter school, and freshmen are not required to live on campus. Housing is not guaranteed for any student. For those that do reside in the residence halls, the university stresses ""living green"" through energy conservation and recycling. On the sports fields, the school's varsity athletes are competitive in the NCAA Division I Pac-12 Conference. The football team, in particular, is a traditional league stand-out. The teams are represented by two mascots: one, a costumed student known as Harry the Husky Dawg, and the other, Dubs, a live Alaskan husky. The university gym is free for students seeking a workout. ",34.791,10.753,31063
University of Georgia,"Athens, GA",56,"At its founding, The University of Georgia made history as the first public, state-supported college in America. These days, the school is known for its vibrant student community. UGA's college town of Athens was rated among the best college towns in the country by U.S. News, and the competitive Bulldogs sports teams compete in the NCAA Division I Southeastern Conference. There are more than 600 student clubs and organizations, including about 60 Greek chapters that involve almost 25 percent of UGA students. Community service is a particularly big focus, with student-run philanthropies such as UGA Miracle, a yearlong fundraiser and 24-hour Dance Marathon for Children's Healthcare of Atlanta. First-year students must live on campus, but Atlanta is 60 miles away for those itching for a road trip. ",29.844,11.634,27547
University of Texas--Austin,"Austin, TX",56,"Everything is bigger in Texas, as the saying goes, and it holds true at the University of Texas--Austin, one of the largest schools in the nation. The school has one of the biggest Greek systems in the country, two of the largest student publications and more than 900 clubs and organizations for students. The UT--Austin sports teams are notorious competitors in the Division I Big 12 Conference, supported by mascot Bevo the Longhorn. The UT Tower, a lofty campus structure, is lit in the school's burnt orange color after notable sports achievements and glows a äó#1' when a team wins a national championship. Freshmen do not have to live on campus, and may choose to live in downtown Austin, situated about a quarter mile away. The vibrant city is known for its music, food, outdoor activities and nightlife, and students can travel for free on the capitol Metro buses with proof of ID. ",34.676,9.806,39619
Purdue University--West Lafayette,"West Lafayette, IN",60,"Purdue University's West Lafayette, Indiana, campus is the main campus in the Purdue University system, which encompasses four other campuses throughout the state. Nearly 20 percent of students are affiliated with Greek life, and Purdue offers a wide range of activities and organizations. Performance groups include the ""All American"" Marching Band, four jazz bands and two symphony orchestras. The Boilermakers, Purdue's athletic teams, compete in the Division I Big Ten Conference and are well known for their dominant men's and women's basketball teams. The Boilermaker Special, Purdue's official mascot, is a railroad locomotive cared for and maintained by the student-run Purdue Reamer Club. Although no students are required to live in university housing, about one-third of undergraduates live on campus. ",28.804,10.002,29497
University of Connecticut,"Storrs, CT",60,"The University of Connecticut, located in Storrs, was originally known as the Storrs Agricultural School _-- a fitting name for an institution surrounded by farmland. Storrs is a sleepy town about a 30-minute drive from Hartford; 60 minutes from Providence, R.I.; and 90 minutes from Boston. Without many activities off campus, students can get involved in the more than 450 clubs and organizations on campus, including more than 30 fraternities and sororities. They can also catch a film in the on-campus movie theater and skate for free in the school's ice rink. Sports are a major focus for students; the UConn Huskies compete in the NCAA Division I American Athletic Conference, in which UConn's basketball teams are especially ferocious competitors. Freshmen do not have to live on campus, though more than 70 percent of all undergraduates choose to do so. Each year before final exams, students gather for Spring Weekend, a fun-filled, multi-day celebration that began as the school's Campus Community Carnival in the 1940s. ",35.858,14.066,18826
University of Maryland--College Park,"College Park, MD",60,"Located between Washington, D.C., and Baltimore, the University of Maryland offers students a suburban lifestyle within easy reach of big-city experiences. The flagship campus in College Park, which has its own subway stop on the D.C.-area Metro transit system, is often considered a commuter school. Accordingly, freshmen do not have to live on campus. There are more than 800 clubs and organizations on campus, including about 35 fraternities and sororities that involve approximately 15 percent of the student population. Students looking for additional activities can visit the university's ""Free Stuff @ Maryland"" website, which offers a comprehensive listing of presentations, events and movie screenings with no admission charges. Sports also offer yearlong distractions. The Maryland Terrapins compete in the NCAA Division I Big Ten Conference. The mascot, Testudo, is a Diamondback terrapin -- a species of turtle that is the official state reptile. One of several Testudo sculptures on campus sits in front of McKeldin Library, and rubbing its nose is thought to bring good luck, particularly before exams. ",32.045,10.181,27443
Clemson University,"Clemson, SC",66,"As a student at Clemson, get ready to love the color orange. The orange Clemson Tigers compete in the NCAA Division I Atlantic Coast Conference. The teams are supported by notoriously passionate student fans and two costumed student mascots, known as The Tiger and The Tiger Cub. There are more than 400 student clubs and organizations, and about 25 percent of students are involved in the school's large Greek system. Clemson is set on Hartwell Lake, where students can sail, swim and fish. For indoor fun, the on-campus Underground Recreation Center has a bowling alley, arcade and billiards room. Students can travel for free on campus bus system The CAT, which connects students between Clemson University and the nearby city of Clemson, S.C. The city of Clemson is within walking distance of campus, too, and offers a typical active college scene with many shopping, dining and nightlife options. Freshmen must live in university housing, and nearly half of all students choose to live on the school's picturesque, tree-lined campus. ",32.796,14.24,18016
University of Pittsburgh,"Pittsburgh, PA",68,"Located in the Oakland neighborhood, Pitt's campus is a 3-mile trip from bustling downtown Pittsburgh. The city is home to powerhouse professional sports teams, such as the Steelers and Penguins, and dozens of unique cultural centers, like the Andy Warhol Museum and Phipps Conservatory & Botanical Gardens. Pitt students get free admission to these and other select museums throughout the school year. Because Pittsburgh is bordered by three rivers, kayaking, sailing and fishing opportunities are plentiful. City buses stop every 10 to 15 minutes on campus, and students can ride public transportation into the city for free with school ID. Freshmen do not have to live on campus. Pitt has a sizeable Greek community of about 35 fraternities and sororities. Students in Arts and Sciences majors can earn hands-on credits in internships, research and teaching with the help of the university's Office of Undergraduate Research, Scholarship and Creative Activity. The Pittsburgh Panthers sports teams compete in the NCAA Division I Atlantic Coast Conference. Pitt students are notorious for their avid support at sporting events, particularly for forming a riotous cheering section known as the Oakland Zoo at basketball games. Students who attend the most home sporting events get priority purchasing when game tickets are in high demand through the school's Loyalty Points system. ",29.758,18.618,18908
Rutgers University--New Brunswick,"Piscataway, NJ",70,"For high school students who can't decide what their ideal college campus would look like, Rutgers University may be the solution. The flagship campus of New Jersey's state university, based in New Brunswick, is actually split into five mini-campuses known as Douglass, Cook, College Avenue, Busch and Livingston. Each campus has a unique setting and identity, from the hip student feel of the College Avenue campus to the farmland and science buildings at Cook Campus. Each mini-campus has its own student center and dining options. Freshmen do not have to live on campus, but those who choose to do so have options on each campus, too. There are more than 400 student clubs and organizations across the mini-campuses, including more than 80 fraternities and sororities. The Rutgers Scarlet Knights compete in the NCAA Division I Big Ten Conference. The university also has a virtual campus on Second Life. ",30.023,14.372,35484
University of Minnesota--Twin Cities,"Minneapolis, MN",71,"The University of Minnesota stretches across a major city - or two, to be exact. Minneapolis and St. Paul, known as the Twin Cities, are frequently recognized for sports, cleanliness and volunteerism. The school has a campus in each city, though the Minneapolis site is considered the main campus of the University of Minnesota. Freshmen do not have to live on campus, but the more than 80 percent who choose to can opt to live in traditional residence halls or one of more than two dozen Living Learning communities, such as the Healthy Foods, Healthy Lives House and La Casa De Espaí±ol. Also on campus are more than 600 student organizations, including more than 30 fraternities and sororities. The Minnesota Golden Gophers compete in the NCAA Division I Big Ten Conference, and all athletic events are held in the Minneapolis campus's Stadium Village neighborhood. Goldy Gopher, the school mascot, energizes thousands of student fans as they chant ""Ski-U-Mah,"" a rally cry that means ""Victory UM."" Under the Four-Year Graduation Plan, the university ensures that all necessary classes will be available for students to complete their degrees on time. If courses are not available in an undergraduate's four years of schooling, the university will pay for the extra credits. ",22.21,13.79,34071
Texas A&M University--College Station,"College Station, TX",74,"Ready to be an Aggie? All students assume the nickname at Texas A&M, an academic and athletic powerhouse in central Texas. Once an all-men's school called the Agricultural and Mechanical College - now shortened to A&M - the university today is coed and has offers a wide variety of majors and activities. Students can choose from more than 800 clubs and organizations, including nearly 60 fraternities and sororities. About 10 percent of students go Greek.  students, about 25 percent, play in Texas A&M intramural sports leagues, one of the largest programs in the country. The school's varsity sports compete in the NCAA Division I Southeastern Conference, cheered on by mascot Reveille VIII, a collie. Miss Rev, as the collie is known, is also the highest-ranking member in the school's Cadet Corps, the largest ROTC program in the nation (not including programs at service academies). First-year students interested in community service can get involved right away through the Freshmen in Service and Hosting program (FISH). All students can give back during The Big Event, the largest single-day, student-run volunteer effort in the country in which more than 15,000 Aggies work to improve the nearby cities of College Station and Bryan. For many students, these communities are also home; freshmen are not required to live on campus and many choose to live in College Station or Bryan. ",28.768,10.176,48960
University of Massachusetts--Amherst,"Amherst, MA",74,"The University of Massachusetts--Amherst is the central location for the state school system. The university is large, but through the Five College Interchange, students can take courses at smaller liberal arts colleges nearby: Smith College, Mount Holyoke College, Amherst College and Hampshire College. Students have close to 90 majors to choose from, including an option to design a major, known as BDIC: the Bachelor's Degree with Individual Concentration. Adult students can complete a degree by taking classes online or on campus - or both - via the UMass Amherst University Without Walls (UWW). All freshmen must live on campus, and family housing, including one- and two-bedroom apartments, is also available to students who are married or who have legal custody of a dependent child. There are more than 200 student organizations to check out, as well as outdoor activities in and around the college's town, Amherst. For road trips from campus, Boston is 90 miles away, while New York City is a 175-mile drive. Notable alumni of the University of Massachusetts--Amherst include Jack Welch, former CEO of General Electric; Jeff Talyor, founder of Monster.com; and Jeff Corwin, an Animal Planet personality. ",30.123,13.79,22748
Virginia Tech,"Blacksburg, VA",74,"At Virginia Tech, a former military institute with its background in the sciences, students are encouraged to ""invent the future."" Students are known as Hokies, a term that was the original rally cry when the school was known as the Virginia Agricultural and Mechanical College and Polytechnic Institute. Sports teams, also known as the Hokies, compete in the NCAA Division I Atlantic Coast Conference, and the school mascot is the HokieBird. Virginia Tech is settled in Blacksburg, a typical college town full of restaurants, bars and clubs. Students account for more than half the total residents in Blacksburg, and they dominate the town's public Blacksburg Transit bus system, which is free for Hokies. On campus, students can go bowling, play pool or try out video games in the BreakZONE. There are also more than 600 clubs and organizations, including a large Greek system of more than 50 fraternities and sororities. Freshmen must live on campus, which puts them in close proximity to the school's renowned dining facilities. Students can order steak and lobster at Virginia Tech's West End Market, or grab a meal from on-campus chain restaurants, including Au Bon Pain and Pizza Hut. ",29.371,12.852,25384
Miami University--Oxford,"Oxford, OH",79,"Miami University students make up nearly half the population of the approximately 7-square-mile town of Oxford, Ohio. Freshmen must live on campus, which is also home to more than 500 student organizations. The Greek system constitutes a large part of campus life, with about a third of the student body involved in more than 50 fraternities and sororities. In fact, the school often gets the moniker ""Mother of Fraternities"" because the Beta Theta Pi, Phi Delta Theta, Phi Kappa Tau and Sigma Chi organizations were founded at Miami University. The school is also known as the ""Cradle of Coaches"" for the number of professional and collegiate coaches who once competed for Miami. The RedHawks, who compete in the Division I Mid-American Conference, were known as the Redskins until 1997. The name was changed after years of controversy and a request from the Miami Indian Tribe. (The tribe is the namesake of the university.) To help ease the transition into freshman year, older students often create a guide to life at Miami University, called the ""M Book."" Student couples who marry are known as ""Miami Mergers"" and are reminded of their alma mater each Valentine's Day, when the admissions office sends cards to congratulate former students on finding love at school. ",31.592,14.288,16387
University of California--Santa Cruz,"Santa Cruz, CA",79,"At the University of California--Santa Cruz, one of 10 schools in the state's university system, residence life can define a student's experience. Nearly 100 percent of freshmen live on campus and choose one of 10 residential colleges to join. These small groups have their own campus locations, as well as unique architecture and programming. Kresge College, for example, is home to an organic garden where students can take classes; students who are members of the College Nine community are often active in volunteer efforts and the college's Alternative Spring Break trips. Students who own RVs can also choose to reside in Camper Park, a unique community of students who live in their own home-like vehicles and share a common bathroom and lounge. Student campers may live with pre-approved roommates who are full-time UCSC students or spouses. Students living in residence halls may only have overnight guests 15 times a school year, for a maximum of three nights each visit. On campus, there are more than 25 miles of hiking and jogging trails, and more than 100 student clubs and organizations. Only about 3 percent of students are members of the school's small Greek system. The UC Santa Cruz sports teams are independent competitors in the NCAA's Division III. Athletes are cheered on by the Banana Slug, a nontraditional, yellow earthen creature that has been recognized among the best mascots in the country. For fun, students can tour Dead Central, a room full of Grateful Dead memorabilia donated by the band to UCSC, or explore the small beach town of Santa Cruz, located on Monterey Bay. There are rides and games on the Santa Cruz Beach Boardwalk, and opportunities for swimming, sailing and kayaking on the bay. To get around, students can travel on the Santa Cruz Metropolitan Transit District buses for free with school ID. For longer road trips, Monterey is 45 miles away, and San Francisco is a 75-mile trip. ",40.241,13.559,16231
University of Delaware,"Newark, DE",79,"For students interested in attending the University of Delaware, it pays to live in the state. The University of Delaware admits all Delaware residents whose academic records predict success, and about 65 percent who apply will be accepted. About half (45-55 percent) of all out-of-state applicants are admitted. For all who receive admission, there are about 280 student clubs and organizations on the school's lush campus in downtown Newark. Nearly 20 percent of students are involved in the school's large Greek system, which has about 25 fraternities and nearly 20 sororities. The Fightin' Blue Hens sports teams, named after a Delaware Revolutionary War battalion with the same nickname, compete in the NCAA Division I Colonial Athletic Association. The mascot is a costumed bird named YoUDee, and a group of live Blue Hen chickens reside on the school farm. Freshmen must live on campus, unless they commute from a parent's local home. When students want to leave campus, Wilmington is about 12 miles away. Philadelphia is a 45-mile drive and Baltimore is 55 miles away. The University of Delaware ran the nation's first study abroad program in 1923, and, these days, nearly 35 percent of undergraduates opt to spend time in another country. ",31.42,12.52,18322
Colorado School of Mines,"Golden, CO",82,"For students who want to work in the sciences, opportunities abound at the Colorado School of Mines. A public engineering and applied sciences school in Golden, Colorado, Mines has 14 academic departments, including Mechanical Engineering and Geophysics. The school also offers courses in the Liberal Arts & International Studies and Economics & Business departments. When students aren't studying, the school's location is ideal for outdoor recreation. Golden is 13 miles from the state capital of Denver and lies in the foothills of the Rocky Mountains, where students can bike, hike and climb. The campus also has a climbing wall for students to test their skills before attempting the Rockies. Cold-weather sports fans can partake in the annual Winter Carnival, a student-run affair packed with skiing and snowboarding at a local resort. The Mines sports teams, known as the Orediggers, compete in the NCAA Division II Rocky Mountain Athletic Conference, which is mostly made up of other teams from Colorado. The school mascot is Blaster the burro, and a giant ""M"" emblazoned onto nearby Mount Zion signifies the school spirit. There are more than 140 student clubs and organizations, including seven fraternities and three sororities. First-year students are required to live on campus. Even the student newspaper, The Oredigger, is decidedly science based; sections include weekly roundups of new discoveries and a Geek of the Week feature. ",34.828,17.383,4608
Michigan State University,"East Lansing, MI",82,"Michigan State University is a powerhouse institution located in the college town of East Lansing. Downtown, students can choose from dining and nightlife options, and the city is also home to the Great Lakes Folk Festival. Lake Michigan and its beaches are a short trip away, as is the state capital of Lansing. The Michigan State Spartans compete in the NCAA Division I Big Ten Conference, supported by award-winning mascot Sparty. There are more than 600 student clubs and organizations, including more than 55 fraternities and sororities. Members of the Greek community are active in the local community through events like Safe Halloween, an annual carnival for children in East Lansing. All students can get involved in service-learning and volunteer projects throughout East Lansing like Fill the Bus, an annual campaign to stuff a Spartan-green school bus full of food and school supplies for underprivileged children. The university is home to one of the largest single-campus residence hall systems in the country, and freshmen must live on campus unless they reside with a family member no more than 50 miles from school. To study farther afield, students can take advantage of more than 260 study abroad programs. ",39.09,14.07,39143
University of Iowa,"Iowa City, IA",82,"The University of Iowa offers top-notch academic programming in more than 100 areas. Students looking to hone their leadership skills have many options, too: They can enroll in the LeaderShape Institute, a six-day getaway workshop; attend the Leadership Development Series, which meets three times a semester; or participate in one of the many programs offered through the Center for Student Involvement & Leadership. Freshmen do not have to live on campus, but more than 90 percent choose to do so. Campus life may pose a challenge to tobacco users, as Iowa is a smoke-free campus. Students have more than 500 clubs and organizations from which to choose, and close to 10 percent of students go Greek as members of the school's nearly 50 fraternities and sororities. Sports are another big focus of campus life; even in the competitive NCAA Division I Big Ten Conference, the Iowa Hawkeyes are notorious players. Four blocks from campus is Iowa City, a Midwestern metropolis that has been recognized among the nation's best for its scenery, greenery and sustainable energy efforts. ",28.413,8.325,23357
Binghamton University--SUNY,"Binghamton, NY",86,"Outdoor recreation abounds in the southeastern New York location of Binghamton University. Despite its name, the university is actually located in Vestal, N.Y., a suburb of Binghamton. The campus includes a nature preserve, complete with a forest and pond where students can hike, bike and run around. Through the Adventure Resource Center and the Outdoor Pursuits program, students can participate in organized kayaking, climbing and camping trips or can plan an excursion of their own. Winter sports fans can go skiing and snowboarding at Greek Peak, a 30-mile trip from campus. On campus, annual student events include University Fest and Spring Fling, two outdoor celebrations with live music, carnival rides and food. There are more than 250 student organizations, including about 50 recognized fraternities and sororities. Freshmen must live on campus, and, because of space restrictions, no graduate students are permitted to do so. One perk of living in the school's residence facilities: free laundry. The Binghamton Bearcats compete in the NCAA Division I America East Conference, and student fans form the BU Zoo cheering section during basketball games. The school mascot is a bearcat named Baxter. On average, more than nine in 10 students remain at SUNY Binghamton after freshman year, one of the highest first-year retention rates in the country. ",22.164,9.044,13491
Indiana University--Bloomington,"Bloomington, IN",86,"No one quite knows what a ""Hoosier"" is, but a murky definition does not stop students at Indiana University-- Bloomington from fiercely identifying with the term. The school's sports teams are notorious competitors in the NCAA Division I Big Ten Conference, and, since Indiana University does not have a mascot, all teams are known simply as Hoosiers. There are more than 750 student organizations on campus, and more than 6,500 students go Greek in the school's large community of fraternities and sororities. Freshmen must live on campus for at least two semesters, though there are some exceptions. The Midwestern college town of Bloomington, or B-town, as it is known to many, is home to a lively cultural scene. Arts and entertainment performances, such as the annual Lotus World Music & Arts Festival, take place year-round. Students can explore the surrounding area through the Indiana University Outdoor Adventures program, which coordinates hiking, whitewater rafting and rock climbing trips. Active students can compete in the annual Little 500, the largest collegiate bike race in the nation and a fundraiser for university scholarships, or spend 36 hours on their feet in the IU Dance Marathon, a fundraiser for Riley Hospital for Children in Indianapolis. ",34.246,10.388,38364
Florida State University,"Tallahassee, FL",92,"Florida State University is a sprawling public school in Tallahassee, the state's capital. Freshmen are not required to live on campus, and typically, there is not room for every student, so it's important to apply early if you'd like to live in university housing. There are more than 600 student organizations to check out, as well as adventure trips for kayaking, backpacking, whitewater rafting and more coordinated through the school's Outdoor Pursuits program. The Florida State Seminoles sports teams compete in the NCAA Division I Atlantic Coast Conference and are traditionally dominant contenders in baseball and football. For students interested in studying abroad, Florida State has centers in Florence, Italy; London; Panama City, Panama; and Valencia, Spain, and offers students other study abroad programs as well. Florida State has a wide variety of graduate schools, including a College of Business, a College of Law and a College of Medicine. The university also has a joint College of Engineering with Florida A&M University. Among the notable graduates of Florida State University are fitness expert Richard Simmons and Spanx apparel line founder Sara Blakely. ",24.673,9.507,32706
