fiscal_year,service,department,program,expense_category,fund,fund_type,expense_type,description,recommended_amount,approved_amount
2011,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Cultural Partnerships - AT,General Fund,Tax-Supported Fund,Operating Expense,Cultural Partnerships - AT,0,2608686.253
2011,"Arts, Culture & Recreation",Arts and Culture,General Subfund,Administrative Services - GF,General Fund,Tax-Supported Fund,Operating Expense,Administrative Services - GF,0,0
2011,"Arts, Culture & Recreation",Arts and Culture,General Subfund,Community Development and Outreach - GF,General Fund,Tax-Supported Fund,Operating Expense,Community Development and Outreach - GF,0,0
2011,"Arts, Culture & Recreation",Arts and Culture,General Subfund,Cultural Partnerships - GF,General Fund,Tax-Supported Fund,Operating Expense,Cultural Partnerships - GF,0,0
2011,"Arts, Culture & Recreation",Arts and Culture,Municipal Arts Fund,Municipal Arts Fund,General Fund,Tax-Supported Fund,Operating Expense,Municipal Arts Fund,0,2693359.297
2010,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Administrative Services - AT,General Fund,Tax-Supported Fund,Operating Expense,Administrative Services - AT,0,462514.591
2010,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Arts Account,General Fund,Tax-Supported Fund,Operating Expense,Arts Account,0,1207454
2010,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Community Development and Outreach - AT,General Fund,Tax-Supported Fund,Operating Expense,Community Development and Outreach - AT,0,507296.7398
2010,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Cultural Partnerships - AT,General Fund,Tax-Supported Fund,Operating Expense,Cultural Partnerships - AT,0,1502208.738
2010,"Arts, Culture & Recreation",Arts and Culture,General Subfund,Administrative Services - GF,General Fund,Tax-Supported Fund,Operating Expense,Administrative Services - GF,0,0
2010,"Arts, Culture & Recreation",Arts and Culture,General Subfund,Community Development and Outreach - GF,General Fund,Tax-Supported Fund,Operating Expense,Community Development and Outreach - GF,0,0
2010,"Arts, Culture & Recreation",Arts and Culture,General Subfund,Cultural Partnerships - GF,General Fund,Tax-Supported Fund,Operating Expense,Cultural Partnerships - GF,0,0
2010,"Arts, Culture & Recreation",Arts and Culture,Municipal Arts Fund,Municipal Arts Fund,General Fund,Tax-Supported Fund,Operating Expense,Municipal Arts Fund,0,2754881.884
2015,Administration,Auditor,Office of City Auditor,Office of City Auditor,General Fund,Tax-Supported Fund,Operating Expense,Office of City Auditor,0,1586256
2014,Administration,Auditor,Office of City Auditor,Office of City Auditor,General Fund,Tax-Supported Fund,Operating Expense,Office of City Auditor,0,1702670
2013,Administration,Auditor,Office of City Auditor,Office of City Auditor,General Fund,Tax-Supported Fund,Operating Expense,Office of City Auditor,0,1913013.633
2012,Administration,Auditor,Office of City Auditor,Office of City Auditor,General Fund,Tax-Supported Fund,Operating Expense,Office of City Auditor,0,1250543.524
2011,Administration,Auditor,Office of City Auditor,Office of City Auditor,General Fund,Tax-Supported Fund,Operating Expense,Office of City Auditor,0,1071896.411
2010,Administration,Auditor,Office of City Auditor,Office of City Auditor,General Fund,Tax-Supported Fund,Operating Expense,Office of City Auditor,0,1167986.612
2015,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Cable Communications,General Fund,Tax-Supported Fund,Operating Expense,Cable Communications,0,935373
2015,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Community Technology,General Fund,Tax-Supported Fund,Operating Expense,Community Technology,0,1429342
2015,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Seattle Channel/Democracy Portal,General Fund,Tax-Supported Fund,Operating Expense,Seattle Channel/Democracy Portal,0,3627525
2015,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Infrastructure,General Fund,Tax-Supported Fund,Operating Expense,Technology Infrastructure,0,969079
2015,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Leadership,General Fund,Tax-Supported Fund,Operating Expense,Technology Leadership,0,407542
2015,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Web Site Support,General Fund,Tax-Supported Fund,Operating Expense,Web Site Support,0,924829
2015,Administration,Cable Television Franchise Subfund,Cable Fee Support to Library Fund,Citizen Literacy/Access,General Fund,Tax-Supported Fund,Operating Expense,Citizen Literacy/Access,0,190000
2014,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Cable Communications,General Fund,Tax-Supported Fund,Operating Expense,Cable Communications,0,776904
2014,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Community Technology,General Fund,Tax-Supported Fund,Operating Expense,Community Technology,0,1431718
2014,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Finance and Administration,General Fund,Tax-Supported Fund,Operating Expense,Finance and Administration,0,0
2014,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Seattle Channel/Democracy Portal,General Fund,Tax-Supported Fund,Operating Expense,Seattle Channel/Democracy Portal,0,3374246
2014,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Infrastructure,General Fund,Tax-Supported Fund,Operating Expense,Technology Infrastructure,0,1632943
2014,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Leadership,General Fund,Tax-Supported Fund,Operating Expense,Technology Leadership,0,427054
2014,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Web Site Support,General Fund,Tax-Supported Fund,Operating Expense,Web Site Support,0,1066920
2014,Administration,Cable Television Franchise Subfund,Cable Fee Support to Library Fund,Citizen Literacy/Access,General Fund,Tax-Supported Fund,Operating Expense,Citizen Literacy/Access,0,190000
2013,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Cable Communications,General Fund,Tax-Supported Fund,Operating Expense,Cable Communications,0,745243.9
2013,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Community Technology,General Fund,Tax-Supported Fund,Operating Expense,Community Technology,0,1333350.11
2013,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Finance and Administration,General Fund,Tax-Supported Fund,Operating Expense,Finance and Administration,0,373754
2013,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Seattle Channel/Democracy Portal,General Fund,Tax-Supported Fund,Operating Expense,Seattle Channel/Democracy Portal,0,3149911.36
2013,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Infrastructure,General Fund,Tax-Supported Fund,Operating Expense,Technology Infrastructure,0,1571415.39
2013,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Leadership,General Fund,Tax-Supported Fund,Operating Expense,Technology Leadership,0,314158
2013,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Web Site Support,General Fund,Tax-Supported Fund,Operating Expense,Web Site Support,0,959061.19
2013,Administration,Cable Television Franchise Subfund,Cable Fee Support to Library Fund,Citizen Literacy/Access,General Fund,Tax-Supported Fund,Operating Expense,Citizen Literacy/Access,0,190000.4
2012,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Cable Communications,General Fund,Tax-Supported Fund,Operating Expense,Cable Communications,0,723259.9
2012,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Community Technology,General Fund,Tax-Supported Fund,Operating Expense,Community Technology,0,1317207.11
2012,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Finance and Administration,General Fund,Tax-Supported Fund,Operating Expense,Finance and Administration,0,299689
2012,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Seattle Channel/Democracy Portal,General Fund,Tax-Supported Fund,Operating Expense,Seattle Channel/Democracy Portal,0,2747014.36
2012,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Infrastructure,General Fund,Tax-Supported Fund,Operating Expense,Technology Infrastructure,0,1412146.39
2012,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Leadership,General Fund,Tax-Supported Fund,Operating Expense,Technology Leadership,0,264980
2012,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Web Site Support,General Fund,Tax-Supported Fund,Operating Expense,Web Site Support,0,1226366.19
2015,Administration,Civil Rights,Civil Rights,Civil Rights,General Fund,Tax-Supported Fund,Operating Expense,Civil Rights,0,4665457
2012,Administration,Cable Television Franchise Subfund,Cable Fee Support to Library Fund,Citizen Literacy/Access,General Fund,Tax-Supported Fund,Operating Expense,Citizen Literacy/Access,0,190000.4
2011,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Cable Communications,General Fund,Tax-Supported Fund,Operating Expense,Cable Communications,0,629220.9
2011,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Community Technology,General Fund,Tax-Supported Fund,Operating Expense,Community Technology,0,1200253.11
2011,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Finance and Administration,General Fund,Tax-Supported Fund,Operating Expense,Finance and Administration,0,290198
2011,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Seattle Channel/Democracy Portal,General Fund,Tax-Supported Fund,Operating Expense,Seattle Channel/Democracy Portal,0,2755454.36
2011,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Infrastructure,General Fund,Tax-Supported Fund,Operating Expense,Technology Infrastructure,0,1426432.39
2011,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Leadership,General Fund,Tax-Supported Fund,Operating Expense,Technology Leadership,0,276054
2011,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Web Site Support,General Fund,Tax-Supported Fund,Operating Expense,Web Site Support,0,783615.19
2011,Administration,Cable Television Franchise Subfund,Cable Fee Support to Library Fund,Citizen Literacy/Access,General Fund,Tax-Supported Fund,Operating Expense,Citizen Literacy/Access,0,190000.4
2010,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Cable Communications,General Fund,Tax-Supported Fund,Operating Expense,Cable Communications,0,1170893.9
2010,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Community Technology,General Fund,Tax-Supported Fund,Operating Expense,Community Technology,0,1402183.11
2010,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Finance and Administration,General Fund,Tax-Supported Fund,Operating Expense,Finance and Administration,0,285642
2010,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Seattle Channel/Democracy Portal,General Fund,Tax-Supported Fund,Operating Expense,Seattle Channel/Democracy Portal,0,2899033.36
2010,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Infrastructure,General Fund,Tax-Supported Fund,Operating Expense,Technology Infrastructure,0,956073.39
2010,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Technology Leadership,General Fund,Tax-Supported Fund,Operating Expense,Technology Leadership,0,306262
2010,Administration,Cable Television Franchise Subfund,Cable Fee Support to Information Technology Fund,Web Site Support,General Fund,Tax-Supported Fund,Operating Expense,Web Site Support,0,775228.19
2010,Administration,Cable Television Franchise Subfund,Cable Fee Support to Library Fund,Citizen Literacy/Access,General Fund,Tax-Supported Fund,Operating Expense,Citizen Literacy/Access,0,190000.4
2015,"Funds, Subfunds & Other",Central Waterfront Improvement Fund,Central Waterfront Improvement Fund Interest Expense,Central Waterfront Improvement Fund Interest Expense,General Fund,Tax-Supported Fund,Operating Expense,Central Waterfront Improvement Fund Interest Expense,0,349258
2015,"Funds, Subfunds & Other",Central Waterfront Improvement Fund,Central Waterfront Improvement Fund Support to Transportation,Central Waterfront Improvement Fund Support to Transportation Budget Control Level,General Fund,Tax-Supported Fund,Operating Expense,Central Waterfront Improvement Fund Support to Transportation Budget Control Level,0,2450000
2014,"Funds, Subfunds & Other",Central Waterfront Improvement Fund,Central Waterfront Improvement Fund Interest Expense,Central Waterfront Improvement Fund Interest Expense,General Fund,Tax-Supported Fund,Operating Expense,Central Waterfront Improvement Fund Interest Expense,0,979550
2014,"Funds, Subfunds & Other",Central Waterfront Improvement Fund,Central Waterfront Improvement Fund Support to Transportation,Central Waterfront Improvement Fund Support to Transportation Budget Control Level,General Fund,Tax-Supported Fund,Operating Expense,Central Waterfront Improvement Fund Support to Transportation Budget Control Level,0,15500000
2013,"Funds, Subfunds & Other",Central Waterfront Improvement Fund,Central Waterfront Improvement Fund Interest Expense,Central Waterfront Improvement Fund Interest Expense,General Fund,Tax-Supported Fund,Operating Expense,Central Waterfront Improvement Fund Interest Expense,0,390000
2014,Utilities & Transportation,City Light,Conservation Resources and Environmental Affairs O&M,Conservation Resources and Environmental Affairs O&M,General Fund,Tax-Supported Fund,Operating Expense,Conservation Resources and Environmental Affairs O&M,0,61414394
2013,"Funds, Subfunds & Other",Central Waterfront Improvement Fund,Central Waterfront Improvement Fund Support to Transportation,Central Waterfront Improvement Fund Support to Transportation Budget Control Level,General Fund,Tax-Supported Fund,Operating Expense,Central Waterfront Improvement Fund Support to Transportation Budget Control Level,0,9500000
2012,"Funds, Subfunds & Other",Central Waterfront Improvement Fund,Central Waterfront Improvement Fund Support to Transportation,Central Waterfront Improvement Fund Support to Transportation Budget Control Level,General Fund,Tax-Supported Fund,Operating Expense,Central Waterfront Improvement Fund Support to Transportation Budget Control Level,0,2000000
2015,Administration,City Budget Office,City Budget Office,City Budget Office,General Fund,Tax-Supported Fund,Operating Expense,City Budget Office,0,5606325
2014,Administration,City Budget Office,City Budget Office,City Budget Office,General Fund,Tax-Supported Fund,Operating Expense,City Budget Office,0,4614910
2013,Administration,City Budget Office,City Budget Office,City Budget Office,General Fund,Tax-Supported Fund,Operating Expense,City Budget Office,0,4085671.444
2012,Administration,City Budget Office,City Budget Office,City Budget Office,General Fund,Tax-Supported Fund,Operating Expense,City Budget Office,0,4030780.377
2011,Administration,City Budget Office,City Budget Office,City Budget Office,General Fund,Tax-Supported Fund,Operating Expense,City Budget Office,0,4011538.978
2010,Administration,City Budget Office,City Budget Office,City Budget Office,General Fund,Tax-Supported Fund,Operating Expense,City Budget Office,0,5109720.265
2015,Utilities & Transportation,City Light,Compliance and Security,Compliance and Security,General Fund,Tax-Supported Fund,Operating Expense,Compliance and Security,0,3623730
2015,Utilities & Transportation,City Light,Conservation Resources and Environmental Affairs O&M,Conservation Resources and Environmental Affairs O&M,General Fund,Tax-Supported Fund,Operating Expense,Conservation Resources and Environmental Affairs O&M,0,61129723
2015,Utilities & Transportation,City Light,Customer Focused - CIP,Customer Focused - CIP,General Fund,Tax-Supported Fund,Operating Expense,Customer Focused - CIP,0,91365428
2015,Utilities & Transportation,City Light,Customer Services,Customer Services,General Fund,Tax-Supported Fund,Operating Expense,Customer Services,0,29804255
2015,Utilities & Transportation,City Light,Debt Service,Debt Service - BCL,General Fund,Tax-Supported Fund,Operating Expense,Debt Service - BCL,0,200478917
2015,Utilities & Transportation,City Light,Distribution Services,Distribution Services,General Fund,Tax-Supported Fund,Operating Expense,Distribution Services,0,77538454
2015,Utilities & Transportation,City Light,Financial Services - CIP,Financial Services - CIP,General Fund,Tax-Supported Fund,Operating Expense,Financial Services - CIP,0,9375409
2015,Utilities & Transportation,City Light,Financial Services - O&M,Financial Services - O&M,General Fund,Tax-Supported Fund,Operating Expense,Financial Services - O&M,0,40168027
2015,Utilities & Transportation,City Light,General Expenses,General Expenses,General Fund,Tax-Supported Fund,Operating Expense,General Expenses,0,95354245
2015,Utilities & Transportation,City Light,Human Resources,Human Resources,General Fund,Tax-Supported Fund,Operating Expense,Human Resources,0,9171102
2015,Utilities & Transportation,City Light,Long-Term Purchased Power,Long-Term Purchased Power,General Fund,Tax-Supported Fund,Operating Expense,Long-Term Purchased Power,0,296476914
2015,Utilities & Transportation,City Light,Office of Superintendent,Office of Superintendent,General Fund,Tax-Supported Fund,Operating Expense,Office of Superintendent,0,3452807
2015,Utilities & Transportation,City Light,Power Supply & Environmental Affairs - CIP,Power Supply & Environmental Affairs - CIP,General Fund,Tax-Supported Fund,Operating Expense,Power Supply & Environmental Affairs - CIP,0,81060225
2015,Utilities & Transportation,City Light,Power Supply O&M,Power Supply O&M,General Fund,Tax-Supported Fund,Operating Expense,Power Supply O&M,0,50902787
2015,Utilities & Transportation,City Light,Short-Term Purchased Power,Short-Term Purchased Power,General Fund,Tax-Supported Fund,Operating Expense,Short-Term Purchased Power,0,42468347
2015,Utilities & Transportation,City Light,Taxes,Taxes,General Fund,Tax-Supported Fund,Operating Expense,Taxes,0,90307625
2015,Utilities & Transportation,City Light,Transmission and Distribution - CIP,Transmission and Distribution - CIP,General Fund,Tax-Supported Fund,Operating Expense,Transmission and Distribution - CIP,0,131034579
2014,Utilities & Transportation,City Light,Compliance and Security,Compliance and Security,General Fund,Tax-Supported Fund,Operating Expense,Compliance and Security,0,3414125
2012,Public Safety,Law,Criminal,Criminal,General Fund,Tax-Supported Fund,Operating Expense,Criminal,0,6289651.666
2014,Utilities & Transportation,City Light,Customer Focused - CIP,Customer Focused - CIP,General Fund,Tax-Supported Fund,Operating Expense,Customer Focused - CIP,0,42214506
2014,Utilities & Transportation,City Light,Customer Services,Customer Services,General Fund,Tax-Supported Fund,Operating Expense,Customer Services,0,28010479
2014,Utilities & Transportation,City Light,Debt Service,Debt Service - BCL,General Fund,Tax-Supported Fund,Operating Expense,Debt Service - BCL,0,192033882
2014,Utilities & Transportation,City Light,Distribution Services,Distribution Services,General Fund,Tax-Supported Fund,Operating Expense,Distribution Services,0,74119489
2014,Utilities & Transportation,City Light,Financial Services - CIP,Financial Services - CIP,General Fund,Tax-Supported Fund,Operating Expense,Financial Services - CIP,0,5848245
2014,Utilities & Transportation,City Light,Financial Services - O&M,Financial Services - O&M,General Fund,Tax-Supported Fund,Operating Expense,Financial Services - O&M,0,36700561
2014,Utilities & Transportation,City Light,General Expenses,General Expenses,General Fund,Tax-Supported Fund,Operating Expense,General Expenses,0,88093979
2014,Utilities & Transportation,City Light,Human Resources,Human Resources,General Fund,Tax-Supported Fund,Operating Expense,Human Resources,0,9043468
2014,Utilities & Transportation,City Light,Long-Term Purchased Power,Long-Term Purchased Power,General Fund,Tax-Supported Fund,Operating Expense,Long-Term Purchased Power,0,287056886
2014,Utilities & Transportation,City Light,Office of Superintendent,Office of Superintendent,General Fund,Tax-Supported Fund,Operating Expense,Office of Superintendent,0,3161305
2014,Utilities & Transportation,City Light,Power Supply & Environmental Affairs - CIP,Power Supply & Environmental Affairs - CIP,General Fund,Tax-Supported Fund,Operating Expense,Power Supply & Environmental Affairs - CIP,0,63588127
2014,Utilities & Transportation,City Light,Power Supply O&M,Power Supply O&M,General Fund,Tax-Supported Fund,Operating Expense,Power Supply O&M,0,50843630
2014,Utilities & Transportation,City Light,Short-Term Purchased Power,Short-Term Purchased Power,General Fund,Tax-Supported Fund,Operating Expense,Short-Term Purchased Power,0,55573482
2014,Utilities & Transportation,City Light,Taxes,Taxes,General Fund,Tax-Supported Fund,Operating Expense,Taxes,0,87435816
2014,Utilities & Transportation,City Light,Transmission and Distribution - CIP,Transmission and Distribution - CIP,General Fund,Tax-Supported Fund,Operating Expense,Transmission and Distribution - CIP,0,89135813
2013,Utilities & Transportation,City Light,Compliance and Security,Compliance and Security,General Fund,Tax-Supported Fund,Operating Expense,Compliance and Security,0,3163330.892
2013,Utilities & Transportation,City Light,Conservation Resources and Environmental Affairs O&M,Conservation Resources and Environmental Affairs O&M,General Fund,Tax-Supported Fund,Operating Expense,Conservation Resources and Environmental Affairs O&M,0,59893972.86
2013,Utilities & Transportation,City Light,Customer Focused - CIP,Customer Focused - CIP,General Fund,Tax-Supported Fund,Operating Expense,Customer Focused - CIP,0,53503046
2013,Utilities & Transportation,City Light,Customer Services,Customer Services,General Fund,Tax-Supported Fund,Operating Expense,Customer Services,0,27635692.11
2013,Utilities & Transportation,City Light,Customer Services and Energy Delivery - CIP,Customer Services and Energy Delivery - CIP,General Fund,Tax-Supported Fund,Operating Expense,Customer Services and Energy Delivery - CIP,0,
2013,Utilities & Transportation,City Light,Debt Service,Debt Service - BCL,General Fund,Tax-Supported Fund,Operating Expense,Debt Service - BCL,0,179667546
2013,Utilities & Transportation,City Light,Distribution Services,Distribution Services,General Fund,Tax-Supported Fund,Operating Expense,Distribution Services,0,73787206.17
2013,Utilities & Transportation,City Light,Financial Services - CIP,Financial Services - CIP,General Fund,Tax-Supported Fund,Operating Expense,Financial Services - CIP,0,8612388
2013,Utilities & Transportation,City Light,Financial Services - O&M,Financial Services - O&M,General Fund,Tax-Supported Fund,Operating Expense,Financial Services - O&M,0,36023478.76
2013,Utilities & Transportation,City Light,General Expenses,General Expenses,General Fund,Tax-Supported Fund,Operating Expense,General Expenses,0,86752635.89
2013,Utilities & Transportation,City Light,Human Resources,Human Resources,General Fund,Tax-Supported Fund,Operating Expense,Human Resources,0,9380049.256
2013,Utilities & Transportation,City Light,Long-Term Purchased Power,Long-Term Purchased Power,General Fund,Tax-Supported Fund,Operating Expense,Long-Term Purchased Power,0,277322789.3
2013,Utilities & Transportation,City Light,Office of Superintendent,Office of Superintendent,General Fund,Tax-Supported Fund,Operating Expense,Office of Superintendent,0,3121630.427
2013,Utilities & Transportation,City Light,Power Supply & Environmental Affairs - CIP,Power Supply & Environmental Affairs - CIP,General Fund,Tax-Supported Fund,Operating Expense,Power Supply & Environmental Affairs - CIP,0,72923920
2013,Utilities & Transportation,City Light,Power Supply O&M,Power Supply O&M,General Fund,Tax-Supported Fund,Operating Expense,Power Supply O&M,0,50892547.85
2013,Utilities & Transportation,City Light,Purchased Power,Purchased Power,General Fund,Tax-Supported Fund,Operating Expense,Purchased Power,0,
2013,Utilities & Transportation,City Light,Short-Term Purchased Power,Short-Term Purchased Power,General Fund,Tax-Supported Fund,Operating Expense,Short-Term Purchased Power,0,52002066.46
2013,Utilities & Transportation,City Light,Taxes,Taxes,General Fund,Tax-Supported Fund,Operating Expense,Taxes,0,81554949.78
2013,Utilities & Transportation,City Light,Transmission and Distribution - CIP,Transmission and Distribution - CIP,General Fund,Tax-Supported Fund,Operating Expense,Transmission and Distribution - CIP,0,66042527
2012,Utilities & Transportation,City Light,Compliance and Security,Compliance and Security,General Fund,Tax-Supported Fund,Operating Expense,Compliance and Security,0,2825188
2012,Utilities & Transportation,City Light,Conservation Resources and Environmental Affairs O&M,Conservation Resources and Environmental Affairs O&M,General Fund,Tax-Supported Fund,Operating Expense,Conservation Resources and Environmental Affairs O&M,0,57757070.56
2012,Utilities & Transportation,City Light,Customer Focused - CIP,Customer Focused - CIP,General Fund,Tax-Supported Fund,Operating Expense,Customer Focused - CIP,0,71268536
2012,Utilities & Transportation,City Light,Customer Services,Customer Services,General Fund,Tax-Supported Fund,Operating Expense,Customer Services,0,26847556.76
